time,X,Y
0.0,-1.600000000000002e-05,-2.9e-05
0.004,-4.76995074289727e-05,-4.8222019905877016e-05
0.008,-5.767478165662978e-05,-5.58555967943732e-05
0.012,-5.5282462139773624e-05,-5.5319115261324136e-05
0.016,-5.354280642223781e-05,-5.0800364376353405e-05
0.02,-4.711352083167988e-05,-4.008162272251109e-05
0.024,-3.716391778766418e-05,-2.9281933354686226e-05
0.028,-3.819190160785441e-05,-2.799485268603613e-05
0.032,-4.576550976813289e-05,-2.838381293641479e-05
0.036,-3.615112157743567e-05,-1.71270737288919e-05
0.04,-1.1047751358391494e-05,-3.084480946395735e-06
0.044,-4.6318151966458295e-06,-4.609569556885069e-06
0.048,-2.715849988280371e-05,-1.6832337818700843e-05
0.052,-4.115074264325115e-05,-1.889703224878901e-05
0.056,-2.2701039276748766e-05,-8.632611053793066e-06
0.06,-2.6116808325381194e-06,-4.60034477610826e-06
0.064,-8.771801101466416e-06,-1.2395999257369694e-05
0.068,-1.6453052951867947e-05,-1.309969409328953e-05
0.072,2.942273819300273e-06,4.811433545885327e-06
0.076,3.231366039688685e-05,2.4909027027768764e-05
0.08,4.296742979546839e-05,2.991099011977006e-05
0.084,3.6925969184470976e-05,2.6599993015278882e-05
0.088,3.1676826900128e-05,2.5982301980494233e-05
0.092,2.9027013093468054e-05,2.1244120206193573e-05
0.096,1.4757811907884912e-05,3.5575106790952892e-06
0.1,-1.3999999999999996e-05,-1.800000000000001e-05
0.104,-3.490223922226866e-05,-2.870896587086236e-05
0.108,-3.289036228937596e-05,-3.075131878034865e-05
0.112,-2.682801059312446e-05,-3.762113957216863e-05
0.116,-3.324554366404131e-05,-4.736198632944829e-05
0.12,-3.61460787706559e-05,-4.193243694996348e-05
0.124,-2.2548427204057325e-05,-1.966796733177686e-05
0.128,-7.013147652042471e-06,-2.8256316151535816e-06
0.132,-4.742325498651418e-06,-4.40393253793214e-06
0.136,-1.553220689043387e-05,-1.3684027218737643e-05
0.14,-2.8165657494040145e-05,-1.681537023241009e-05
0.144,-2.5193412504524416e-05,-1.0392812207288731e-05
0.148,-7.049220142909065e-06,-3.4369422669208273e-07
0.152,2.443855116890696e-06,4.540443613825603e-06
0.156,-8.631869286332942e-07,5.828187445230423e-06
0.16,2.453543727897991e-06,1.013630985266254e-05
0.164,7.552757690831987e-06,8.82562370354373e-06
0.168,-4.273335721996295e-06,-7.874877679739009e-06
0.172,-2.3349605541961002e-05,-2.8557457022076773e-05
0.176,-3.3787765953674707e-05,-4.34529633577185e-05
0.18,-3.836447836801118e-05,-5.8421873996290917e-05
0.184,-3.8512650854932605e-05,-6.996927346250605e-05
0.188,-3.713727732032192e-05,-6.934073137152389e-05
0.192,-4.139626588806629e-05,-6.025357928010891e-05
0.196,-3.223341070734173e-05,-3.8010234238357684e-05
0.2,7.000000000000015e-06,1.9999999999999957e-06
0.204,3.557593440481527e-05,2.5594272683201722e-05
0.208,1.4135314518199373e-05,3.868279694846306e-06
0.212,-2.2306185558696903e-05,-2.7155713593717035e-05
